column_name,dType,missing_values,modesOrMeans
Field of Study,object,1,"['Business', 'Law', 'Education']"
Current Occupation,object,4,"['Software Developer', 'Doctor', 'Artist']"
Age,float64,4,39.36
Gender,object,7,"['Female', 'Male']"
Years of Experience,float64,2,19.77
Education Level,object,6,"['High School', ""Bachelor's"", 'PhD']"
Industry Growth Rate,object,5,"['High', 'Medium', 'Low']"
Job Satisfaction,float64,2,5.5
Work-Life Balance,float64,3,5.52
Job Opportunities,float64,7,50.62
Salary,object,6,"[164940, 148493, 185507]"
Job Security,float64,4,5.52
Career Change Interest,object,5,"[0, 1, 'A']"
Skills Gap,float64,5,5.54
Certifications,object,5,"[0, 1, 'A']"
Freelancing Experience,float64,6,0.15
Geographic Mobility,object,4,"[0, 1, 'A']"
Professional Networks,float64,6,5.51
Career Change Events,float64,2,1.0
Technology Adoption,float64,4,5.48
Likely to Change Occupation,float64,1,0.57
Total Records,5000,89,
